,Fecha,Lluvia,Estacion
327,2021-11-24,si,Spring
328,2021-11-25,si,Spring
329,2021-11-26,si,Spring
330,2021-11-27,no,Spring
331,2021-11-28,no,Spring
332,2021-11-29,no,Spring
333,2021-11-30,no,Spring
334,2021-12-01,no,Spring
335,2021-12-02,no,Spring
336,2021-12-03,no,Spring
337,2021-12-04,si,Spring
338,2021-12-05,si,Spring
339,2021-12-06,no,Spring
340,2021-12-07,no,Spring
341,2021-12-08,no,Spring
342,2021-12-09,no,Spring
343,2021-12-10,si,Spring
344,2021-12-11,si,Spring
345,2021-12-12,no,Spring
346,2021-12-13,no,Spring
347,2021-12-14,no,Spring
348,2021-12-15,no,Spring
349,2021-12-16,no,Spring
350,2021-12-17,no,Spring
351,2021-12-18,no,Spring
352,2021-12-19,no,Spring
353,2021-12-20,no,Spring
354,2021-12-21,no,Summer
355,2021-12-22,no,Summer
356,2021-12-23,no,Summer
357,2021-12-24,no,Summer
358,2021-12-25,no,Summer
359,2021-12-26,no,Summer
360,2021-12-27,no,Summer
361,2021-12-28,no,Summer
362,2021-12-29,no,Summer
363,2021-12-30,si,Summer
364,2021-12-31,si,Summer
